type_II_pneumocyte	mature_NK_T_cell	adventitial_cell
ENSG00000011465	0.1	0	54.36
ENSG00000111341	0.506	0.0384615384615385	116.96
ENSG00000077942	0.035	0	27.36
ENSG00000197766	0.475	0.0384615384615385	31.12
ENSG00000118849	0.037	0	19.04
ENSG00000166741	9.925	0.0384615384615385	25.04
ENSG00000182326	1.695	0	9.8
ENSG00000159403	4.848	0.0384615384615385	13.12
ENSG00000142173	0.031	0.153846153846154	10
ENSG00000139329	0.042	0	11.52
ENSG00000106538	0.236	0	7.32
ENSG00000149131	2.552	0	11.24
ENSG00000189058	0.134	0	11.4
ENSG00000142156	0.065	0	6.44
ENSG00000091986	0.45	0	20
ENSG00000112936	0.049	0	7.72
ENSG00000107317	0.052	0.769230769230769	6.52
ENSG00000163661	0.332	0	8.12
ENSG00000163430	0.091	0	5.84
ENSG00000187193	5.168	0.0769230769230769	7.32
ENSG00000149257	4.652	0	7.6
ENSG00000142871	3.313	0	11.2
ENSG00000115594	4.011	0.0384615384615385	7.24
ENSG00000138061	3.921	0	4.96
ENSG00000196616	0.024	0	5.08
ENSG00000167779	0.197	0.0384615384615385	16.04
ENSG00000038427	0.232	0.0384615384615385	6.84
ENSG00000140285	0.852	0	3
ENSG00000123384	0.108	0.0384615384615385	3.4
ENSG00000116649	7.405	0.230769230769231	6.04
ENSG00000128595	4.278	0.269230769230769	4.92
ENSG00000166794	30.472	1.96153846153846	16.88
ENSG00000140092	0.857	0	2.32
ENSG00000108691	1.272	0.0384615384615385	7.2
ENSG00000158747	0.035	0	3.04
ENSG00000162407	0.679	0	3.04
ENSG00000115380	4.156	0	4.04
ENSG00000090006	0.392	0.0384615384615385	2.16
ENSG00000101955	0.085	0	2.56
ENSG00000134333	18.062	0.846153846153846	14.2
ENSG00000115461	0.02	0	4.04
ENSG00000069702	0.12	0.615384615384615	2.44
ENSG00000100979	0.107	0.115384615384615	1.6
ENSG00000109472	0.109	0	2.28
ENSG00000198856	5.316	0.423076923076923	4.24
ENSG00000123562	4.761	0.192307692307692	3.4
ENSG00000136235	0.13	0.0769230769230769	1.84
ENSG00000151914	0.756	0	2.76
ENSG00000157916	4.206	0.307692307692308	3.04
ENSG00000168653	12.435	0.846153846153846	6.68
ENSG00000166033	0.964	0.0384615384615385	1.72
ENSG00000182636	0.635	0	1.4
ENSG00000136732	0.081	1.07692307692308	2.68
ENSG00000136026	3.309	0	2.36
ENSG00000101182	17.207	1.23076923076923	9.12
ENSG00000253276	0.385	0.0769230769230769	2.48
ENSG00000115523	0.175	26.2692307692308	0
ENSG00000275302	0.466	83.5769230769231	0
ENSG00000105374	0.013	18.3461538461538	0
ENSG00000100453	0.008	11	0
ENSG00000277632	0.146	41.7307692307692	0.04
ENSG00000180644	0.003	9.07692307692308	0
ENSG00000134539	0.016	6.84615384615385	0
ENSG00000158050	0.506	10.6538461538462	0.04
ENSG00000110848	0.051	12.6923076923077	0.04
ENSG00000145649	0.006	5.23076923076923	0
ENSG00000172543	0.024	4.15384615384615	0
ENSG00000077984	0.012	5.57692307692308	0
ENSG00000188042	0.62	5.84615384615385	0.24
ENSG00000271503	0.021	6.38461538461539	0
ENSG00000203747	0.101	3.96153846153846	0.04
ENSG00000126264	0.174	5.11538461538461	0.04
ENSG00000159674	0.011	3.38461538461538	1.48
ENSG00000145287	0.1	3.11538461538462	0
ENSG00000169554	0.151	3.30769230769231	1
ENSG00000088179	0.938	1.88461538461538	0
ENSG00000111796	0.001	1.88461538461538	0
ENSG00000128340	0.073	2.84615384615385	0
ENSG00000115232	0.027	1.92307692307692	0.04
ENSG00000020633	0.013	1.92307692307692	0
ENSG00000135048	1.894	2.5	0.36
ENSG00000129968	1.643	2.76923076923077	0.64
ENSG00000010810	0.049	1.84615384615385	0.44
ENSG00000140030	0.018	1.96153846153846	0
ENSG00000125347	2.941	3.73076923076923	2.72
ENSG00000111670	1.833	1.92307692307692	0.44
ENSG00000110934	0.015	1.76923076923077	0
ENSG00000145675	0.68	3.15384615384615	3
ENSG00000110852	0.086	2.15384615384615	0.24
ENSG00000054654	2.403	3.19230769230769	0.16
ENSG00000197622	1.004	1.57692307692308	0.32
ENSG00000149311	0.807	1.46153846153846	0.16
ENSG00000154451	0.002	1	0
ENSG00000247774	0.022	1.53846153846154	0
ENSG00000175463	0.011	1	0
ENSG00000168209	0.637	2.57692307692308	0.48
ENSG00000234745	10.357	12.3076923076923	2.52
ENSG00000101474	1.252	1.80769230769231	0.28
ENSG00000141682	2.08	1.92307692307692	0
ENSG00000239713	0.024	1.03846153846154	0.08
ENSG00000235162	0.05	1	0.08
ENSG00000150867	0.292	1.42307692307692	0.24
ENSG00000197471	0.025	1.11538461538462	0
ENSG00000265206	0.011	1.03846153846154	0
ENSG00000134215	0.012	0.923076923076923	0
ENSG00000147168	0.005	1.03846153846154	0
ENSG00000280138	3.385	2.38461538461538	0.2
ENSG00000136490	0.035	1.34615384615385	0.04
ENSG00000101695	0.024	0.807692307692308	0
ENSG00000276070	0.053	3.80769230769231	0.04
ENSG00000117280	0.697	0.923076923076923	0.08
ENSG00000175567	0.736	0.923076923076923	0
ENSG00000005844	0.015	0.692307692307692	0
ENSG00000187118	1.686	1.61538461538462	0.4
ENSG00000173821	3.426	2.34615384615385	0.52
ENSG00000104894	0.068	1.26923076923077	0.04
ENSG00000206503	16.224	13.9615384615385	7.36
ENSG00000186088	0.807	0.807692307692308	0
ENSG00000140968	0.028	0.692307692307692	0
ENSG00000117616	2.665	2.42307692307692	1.04
ENSG00000007264	0.008	0.653846153846154	0
ENSG00000027075	0.224	1	0.08
ENSG00000160305	0.55	0.769230769230769	0.24
ENSG00000127314	2.449	2.57692307692308	0.92
ENSG00000197536	0.363	0.653846153846154	0.04
ENSG00000114423	0.234	0.884615384615385	0.32
ENSG00000175066	0.742	0.692307692307692	0.12
ENSG00000112576	2.805	1.61538461538462	0.48
ENSG00000162777	0.872	0.846153846153846	0
ENSG00000148019	0.55	0.730769230769231	0.04
ENSG00000204525	5.855	5.57692307692308	2.68
ENSG00000147443	0.028	0.730769230769231	0
ENSG00000109787	1.585	1.11538461538462	0.68
ENSG00000048740	6.48	1.80769230769231	0.88
ENSG00000255112	1.228	1	0.24
ENSG00000105856	0.981	0.846153846153846	0.16
ENSG00000168484	2472.797	7.38461538461539	13.96
ENSG00000122852	406.537	1.42307692307692	3.2
ENSG00000185303	590.328	2.65384615384615	5.36
ENSG00000131400	144.846	0.5	1.24
ENSG00000168878	477.025	2.26923076923077	4.48
ENSG00000171476	79.252	3.03846153846154	0.84
ENSG00000196260	59.209	0.576923076923077	0.48
ENSG00000157765	57.59	0.269230769230769	0.52
ENSG00000133661	46.154	0.230769230769231	0.24
ENSG00000185499	52.324	0.423076923076923	1.12
ENSG00000119655	80.859	0.384615384615385	3
ENSG00000197249	64.769	0.307692307692308	0.6
ENSG00000103811	43.569	0.230769230769231	0.68
ENSG00000111057	49.81	0.384615384615385	0.44
ENSG00000138821	25.751	0.0769230769230769	0.72
ENSG00000081041	57.961	0.153846153846154	8.12
